محافظه,لواء,قضاء,التجمع السكاني,المنطقة,الحي, الاعاقة السمعيه و/او النطقيه , الاعاقه الجسديه و /او الحركيه,الاعاقه شلل دماغي,الاعاقه العقليه,الاعاقه البصريه, الاعاقات  المتعدده, الاعاقات  الاخرى, الاعاقات  الغير مبينه
العاصمة,لواء وادي السير,قضاء وادي السير,وادي السير,وادي السير,الروابي,42,81,22,45,24,37,32,0
العاصمة,لواء وادي السير,قضاء وادي السير,وادي السير,وادي السير,الرونق,14,32,12,28,8,8,17,0
العاصمة,لواء وادي السير,قضاء وادي السير,وادي السير,وادي السير,السهل,2,3,4,3,1,2,2,0
العاصمة,لواء وادي السير,قضاء وادي السير,وادي السير,وادي السير,الصويفية,10,22,10,15,4,15,4,1
العاصمة,لواء وادي السير,قضاء وادي السير,وادي السير,وادي السير,الظهير,2,2,0,0,0,0,0,0
العاصمة,لواء وادي السير,قضاء وادي السير,وادي السير,وادي السير,الكرسي,2,9,12,6,1,4,6,0
العاصمة,لواء وادي السير,قضاء وادي السير,وادي السير,وادي السير,ام اذينة الغربي,6,19,3,6,7,4,4,0
العاصمة,لواء وادي السير,قضاء وادي السير,وادي السير,وادي السير,وادي السير,42,98,26,40,43,34,51,0
العاصمة,لواء وادي السير,قضاء وادي السير,وادي الشتاء,وادي الشتاء,وادي الشتاء,0,0,0,1,0,0,0,0
العاصمة,لواء سحاب,قضاء سحاب,البيضاء,البيضاء,البيضاء,0,5,1,6,0,1,0,0
العاصمة,لواء سحاب,قضاء سحاب,الخشافية الجنوبية,الخشافية الجنوبية,الخشافية الجنوبية,2,3,0,0,1,1,0,0
العاصمة,لواء سحاب,قضاء سحاب,الخشافية الشمالية,الخشافية الشمالية,الخشافية الشمالية,5,18,4,9,7,3,0,0
العاصمة,لواء سحاب,قضاء سحاب,العبدليه,العبدليه,العبدليه,21,24,3,10,2,14,5,2
العاصمة,لواء سحاب,قضاء سحاب,الماضونة,الماضونة,الماضونة,0,0,0,0,0,0,0,1
العاصمة,لواء سحاب,قضاء سحاب,المناخر,المناخر,المناخر,0,4,1,0,0,0,0,0
العاصمة,لواء سحاب,قضاء سحاب,سحاب,سحاب,الاول,51,60,20,19,24,26,22,2
العاصمة,لواء سحاب,قضاء سحاب,سحاب,سحاب,الثالث,33,46,21,28,22,16,7,1
العاصمة,لواء سحاب,قضاء سحاب,سحاب,سحاب,الثاني,5,14,6,3,4,11,2,1
العاصمة,لواء الجيزة,قضاء الجيزة,ارينبة الشرقية,ارينبة الشرقية,ارينبة الشرقية,0,5,0,0,1,1,2,0
العاصمة,لواء الجيزة,قضاء الجيزة,ارينبه الغربية,ارينبه الغربية,ارينبه الغربية,8,11,0,8,0,0,0,0
العاصمة,لواء الجيزة,قضاء الجيزة,الباسلية,الباسلية,الباسلية,0,0,1,0,1,1,0,0
العاصمة,لواء الجيزة,قضاء الجيزة,الثمد,الثمد,الثمد,0,2,0,0,0,0,0,0
العاصمة,لواء الجيزة,قضاء الجيزة,الجيزة,الجيزة,الجيزة,6,16,8,2,2,7,2,0
العاصمة,لواء الجيزة,قضاء الجيزة,الخالدية,الخالدية,الخالدية,0,0,0,0,0,2,0,0
العاصمة,لواء الجيزة,قضاء الجيزة,الخضراء,الخضراء,الخضراء,0,1,0,1,0,0,0,0
العاصمة,لواء الجيزة,قضاء الجيزة,الخنان (الندوه),الخنان (الندوه),الخنان (الندوه),1,0,0,0,0,1,0,0
العاصمة,لواء الجيزة,قضاء الجيزة,الدليله(دليلة المطيرات),الدليله(دليلة المطيرات),الدليله(دليلة المطيرات),4,2,1,1,0,1,1,0
العاصمة,لواء الجيزة,قضاء الجيزة,الزعفران,الزعفران,الزعفران,2,5,0,2,0,3,0,0
العاصمة,لواء الجيزة,قضاء الجيزة,الزميله,الزميله,الزميله,8,7,1,2,2,3,5,0
العاصمة,لواء الجيزة,قضاء الجيزة,الزيتونة,الزيتونة,الزيتونة,0,2,1,0,1,0,1,0
العاصمة,لواء الجيزة,قضاء الجيزة,السيفية(زباير كنيعان),السيفية(زباير كنيعان),السيفية(زباير كنيعان),1,0,0,0,0,0,0,0
العاصمة,لواء الجيزة,قضاء الجيزة,الصلاحيه(زباير الطوال),الصلاحيه(زباير الطوال),الصلاحيه(زباير الطوال),0,1,0,1,4,0,0,0
