محافظه,لواء,قضاء,التجمع السكاني,المنطقة,الحي,gis block code,ذكر,انثى, المجموع
العاصمة,لواء قصبة عمان ,قضاء عمان,بدر,بدر,الذراع,1.10111E+11,19815,18132,37947
العاصمة,لواء قصبة عمان ,قضاء عمان,بدر,بدر,الهلال,1.10111E+11,12854,12743,25597
العاصمة,لواء قصبة عمان ,قضاء عمان,بدر,بدر,الياسمين,1.10111E+11,5670,5416,11086
العاصمة,لواء قصبة عمان ,قضاء عمان,راس العين ,راس العين,الروضة,1.10111E+11,18804,17749,36553
العاصمة,لواء قصبة عمان ,قضاء عمان,راس العين ,راس العين,الزهور,1.10111E+11,10027,7483,17510
العاصمة,لواء قصبة عمان ,قضاء عمان,راس العين ,راس العين,النظيف,1.10111E+11,19782,17799,37581
العاصمة,لواء قصبة عمان ,قضاء عمان,زهران ,زهران,الرضوان,1.10111E+11,4198,4692,8890
العاصمة,لواء قصبة عمان ,قضاء عمان,زهران ,زهران,ام اذينة الشرقي,1.10111E+11,3579,3919,7498
العاصمة,لواء قصبة عمان ,قضاء عمان,زهران ,زهران,جبل عمان,1.10111E+11,9618,9003,18621
العاصمة,لواء قصبة عمان ,قضاء عمان,زهران ,زهران,عبدون الجنوبي,1.10111E+11,2127,2262,4389
العاصمة,لواء قصبة عمان ,قضاء عمان,زهران ,زهران,عبدون الشمالي,1.10111E+11,6553,7134,13687
العاصمة,لواء ماركا ,قضاء ماركا ,النصر ,النصر,الاميرالحسن,1.10211E+11,17522,16563,34085
العاصمة,لواء ماركا ,قضاء ماركا ,النصر ,النصر,الاميرة عالية,1.10211E+11,9619,9001,18620
العاصمة,لواء ماركا ,قضاء ماركا ,النصر ,النصر,الربوة,1.10211E+11,12212,11288,23500
العاصمة,لواء ماركا ,قضاء ماركا ,النصر ,النصر,الصالحية,1.10211E+11,2497,2242,4739
العاصمة,لواء ماركا ,قضاء ماركا ,النصر ,النصر,المغيرات,1.10211E+11,559,536,1095
